# ----------------------------------------
# Cage Code Site Data
# Active Users
# 20160401-20180407
# ----------------------------------------

Day Index,1 Day Active Users
4/1/16,649
4/2/16,62
4/3/16,103
4/4/16,878
4/5/16,"1,006"
4/6/16,935
4/7/16,928
4/8/16,657
4/9/16,80
4/10/16,99
4/11/16,918
4/12/16,"1,031"
4/13/16,964
4/14/16,956
4/15/16,891
4/16/16,60
4/17/16,114
4/18/16,943
4/19/16,864
4/20/16,910
4/21/16,820
4/22/16,608
4/23/16,19
4/24/16,73
4/25/16,860
4/26/16,956
4/27/16,859
4/28/16,867
4/29/16,627
4/30/16,57
5/1/16,89
5/2/16,775
5/3/16,944
5/4/16,921
5/5/16,759
5/6/16,512
5/7/16,58
5/8/16,84
5/9/16,801
5/10/16,917
5/11/16,838
5/12/16,906
5/13/16,692
5/14/16,45
5/15/16,93
5/16/16,807
5/17/16,855
5/18/16,889
5/19/16,825
5/20/16,553
5/21/16,61
5/22/16,106
5/23/16,712
5/24/16,814
5/25/16,779
5/26/16,746
5/27/16,547
5/28/16,50
5/29/16,99
5/30/16,219
5/31/16,721
6/1/16,837
6/2/16,795
6/3/16,553
6/4/16,76
6/5/16,95
6/6/16,737
6/7/16,887
6/8/16,848
6/9/16,875
6/10/16,622
6/11/16,56
6/12/16,99
6/13/16,807
6/14/16,913
6/15/16,844
6/16/16,864
6/17/16,549
6/18/16,49
6/19/16,106
6/20/16,790
6/21/16,857
6/22/16,841
6/23/16,803
6/24/16,573
6/25/16,61
6/26/16,112
6/27/16,830
6/28/16,912
6/29/16,935
6/30/16,815
7/1/16,528
7/2/16,81
7/3/16,76
7/4/16,213
7/5/16,688
7/6/16,894
7/7/16,861
7/8/16,657
7/9/16,93
7/10/16,112
7/11/16,874
7/12/16,925
7/13/16,913
7/14/16,843
7/15/16,616
7/16/16,49
7/17/16,89
7/18/16,803
7/19/16,887
7/20/16,841
7/21/16,818
7/22/16,603
7/23/16,51
7/24/16,118
7/25/16,"1,009"
7/26/16,815
7/27/16,893
7/28/16,859
7/29/16,557
7/30/16,58
7/31/16,106
8/1/16,798
8/2/16,925
8/3/16,878
8/4/16,864
8/5/16,634
8/6/16,57
8/7/16,107
8/8/16,811
8/9/16,910
8/10/16,932
8/11/16,822
8/12/16,580
8/13/16,51
8/14/16,87
8/15/16,765
8/16/16,899
8/17/16,"1,430"
8/18/16,857
8/19/16,637
8/20/16,73
8/21/16,118
8/22/16,856
8/23/16,"1,034"
8/24/16,933
8/25/16,798
8/26/16,540
8/27/16,81
8/28/16,122
8/29/16,806
8/30/16,913
8/31/16,840
9/1/16,754
9/2/16,584
9/3/16,49
9/4/16,102
9/5/16,276
9/6/16,940
9/7/16,951
9/8/16,913
9/9/16,615
9/10/16,73
9/11/16,114
9/12/16,902
