# ----------------------------------------
# Cage Code Site Data
# Audience Overview
# 20160401-20180407
# ----------------------------------------

Day Index,Users
4/1/16,660
4/2/16,72
4/3/16,104
4/4/16,869
4/5/16,"1,002"
4/6/16,926
4/7/16,908
4/8/16,643
4/9/16,81
4/10/16,98
4/11/16,907
4/12/16,"1,027"
4/13/16,964
4/14/16,951
4/15/16,887
4/16/16,68
4/17/16,119
4/18/16,934
4/19/16,874
4/20/16,875
4/21/16,823
4/22/16,595
4/23/16,14
4/24/16,76
4/25/16,844
4/26/16,952
4/27/16,839
4/28/16,870
4/29/16,609
4/30/16,64
5/1/16,97
5/2/16,776
5/3/16,939
5/4/16,915
5/5/16,741
5/6/16,524
5/7/16,65
5/8/16,91
5/9/16,812
5/10/16,907
5/11/16,832
5/12/16,895
5/13/16,688
5/14/16,48
5/15/16,98
5/16/16,784
5/17/16,842
5/18/16,864
5/19/16,802
5/20/16,549
5/21/16,67
5/22/16,106
5/23/16,708
5/24/16,813
5/25/16,784
5/26/16,762
5/27/16,547
5/28/16,59
5/29/16,104
5/30/16,218
5/31/16,718
6/1/16,822
6/2/16,801
6/3/16,556
6/4/16,85
6/5/16,100
6/6/16,745
6/7/16,878
6/8/16,826
6/9/16,885
6/10/16,613
6/11/16,63
6/12/16,103
6/13/16,804
6/14/16,911
6/15/16,845
6/16/16,870
6/17/16,547
6/18/16,52
6/19/16,111
6/20/16,800
6/21/16,852
6/22/16,848
6/23/16,783
6/24/16,554
6/25/16,68
6/26/16,111
6/27/16,839
6/28/16,907
6/29/16,907
6/30/16,797
7/1/16,528
7/2/16,85
7/3/16,81
7/4/16,214
7/5/16,688
7/6/16,896
7/7/16,830
7/8/16,648
7/9/16,99
7/10/16,116
7/11/16,865
7/12/16,903
7/13/16,909
7/14/16,851
7/15/16,609
7/16/16,57
7/17/16,95
7/18/16,775
7/19/16,851
7/20/16,831
7/21/16,813
7/22/16,605
7/23/16,56
7/24/16,125
7/25/16,979
7/26/16,810
7/27/16,873
7/28/16,838
7/29/16,549
7/30/16,59
7/31/16,114
8/1/16,784
8/2/16,908
8/3/16,875
8/4/16,847
8/5/16,608
8/6/16,60
8/7/16,117
8/8/16,791
8/9/16,890
8/10/16,908
8/11/16,804
8/12/16,575
8/13/16,59
8/14/16,91
8/15/16,750
8/16/16,896
8/17/16,"1,423"
8/18/16,856
8/19/16,631
8/20/16,81
8/21/16,120
8/22/16,834
8/23/16,"1,011"
8/24/16,932
8/25/16,797
8/26/16,526
8/27/16,69
8/28/16,125
8/29/16,785
8/30/16,895
8/31/16,830
9/1/16,748
9/2/16,587
9/3/16,57
9/4/16,112
9/5/16,273
9/6/16,916
9/7/16,917
9/8/16,916
9/9/16,611
9/10/16,72
9/11/16,112
9/12/16,892
9/13/16,891
9/14/16,909
9/15/16,904
9/16/16,669
9/17/16,74
9/18/16,108
9/19/16,900
9/20/16,928
9/21/16,933
9/22/16,909
9/23/16,635
9/24/16,90
9/25/16,138
9/26/16,868
9/27/16,988
9/28/16,"1,170"
9/29/16,952
9/30/16,732
10/1/16,68
10/2/16,93
10/3/16,821
10/4/16,968
10/5/16,949
10/6/16,778
10/7/16,528
10/8/16,78
10/9/16,100
10/10/16,656
10/11/16,938
10/12/16,898
10/13/16,887
10/14/16,742
10/15/16,86
10/16/16,144
10/17/16,929
10/18/16,995
10/19/16,937
10/20/16,899
10/21/16,659
10/22/16,82
10/23/16,114
10/24/16,895
10/25/16,926
10/26/16,926
10/27/16,928
10/28/16,647
10/29/16,70
10/30/16,119
10/31/16,882
11/1/16,922
11/2/16,915
11/3/16,892
11/4/16,615
11/5/16,63
11/6/16,130
11/7/16,866
11/8/16,892
11/9/16,913
11/10/16,864
11/11/16,540
11/12/16,74
11/13/16,132
11/14/16,915
11/15/16,951
11/16/16,943
11/17/16,873
11/18/16,613
11/19/16,81
11/20/16,127
11/21/16,851
11/22/16,869
11/23/16,702
11/24/16,273
11/25/16,218
11/26/16,59
11/27/16,141
11/28/16,832
11/29/16,"1,095"
11/30/16,995
12/1/16,"1,049"
12/2/16,801
12/3/16,107
12/4/16,130
12/5/16,986
12/6/16,994
12/7/16,975
12/8/16,929
12/9/16,710
12/10/16,73
12/11/16,115
12/12/16,873
12/13/16,963
12/14/16,951
12/15/16,955
12/16/16,615
12/17/16,124
12/18/16,179
12/19/16,788
12/20/16,938
12/21/16,782
12/22/16,630
12/23/16,277
12/24/16,38
12/25/16,57
12/26/16,127
12/27/16,372
12/28/16,425
12/29/16,398
12/30/16,239
12/31/16,39
1/1/17,65
1/2/17,196
1/3/17,758
1/4/17,912
1/5/17,898
1/6/17,669
1/7/17,87
1/8/17,114
1/9/17,878
1/10/17,955
1/11/17,946
1/12/17,972
1/13/17,675
1/14/17,84
1/15/17,128
1/16/17,765
1/17/17,998
1/18/17,"1,061"
1/19/17,990
1/20/17,728
1/21/17,76
1/22/17,159
1/23/17,975
1/24/17,"1,032"
1/25/17,999
1/26/17,913
1/27/17,710
1/28/17,74
1/29/17,115
1/30/17,937
1/31/17,999
2/1/17,"1,015"
2/2/17,969
2/3/17,784
2/4/17,90
2/5/17,147
2/6/17,"1,028"
2/7/17,"1,146"
2/8/17,"1,199"
2/9/17,"1,114"
2/10/17,887
2/11/17,110
2/12/17,164
2/13/17,"1,058"
2/14/17,"1,143"
2/15/17,"1,219"
2/16/17,"1,190"
2/17/17,810
2/18/17,102
2/19/17,166
2/20/17,881
2/21/17,"1,185"
2/22/17,"1,238"
2/23/17,"1,114"
2/24/17,818
2/25/17,177
2/26/17,144
2/27/17,"1,108"
2/28/17,"1,059"
3/1/17,"1,196"
3/2/17,"1,126"
3/3/17,834
3/4/17,93
3/5/17,184
3/6/17,"1,192"
3/7/17,"1,212"
3/8/17,"1,327"
3/9/17,"1,160"
3/10/17,806
3/11/17,106
3/12/17,144
3/13/17,"1,179"
3/14/17,"1,155"
3/15/17,"1,189"
3/16/17,"1,176"
3/17/17,870
3/18/17,97
3/19/17,153
3/20/17,"1,165"
3/21/17,"1,283"
3/22/17,"1,272"
3/23/17,"1,186"
3/24/17,899
3/25/17,106
3/26/17,175
3/27/17,"1,283"
3/28/17,"1,247"
3/29/17,"1,303"
3/30/17,"1,192"
3/31/17,955
4/1/17,102
4/2/17,153
4/3/17,"1,191"
4/4/17,"1,292"
4/5/17,"1,283"
4/6/17,"1,228"
4/7/17,828
4/8/17,114
4/9/17,162
4/10/17,"1,186"
4/11/17,"1,251"
4/12/17,"1,284"
4/13/17,"1,070"
4/14/17,577
4/15/17,91
4/16/17,112
4/17/17,"1,033"
4/18/17,"1,259"
4/19/17,"1,279"
4/20/17,"1,286"
4/21/17,860
4/22/17,89
4/23/17,163
4/24/17,"1,203"
4/25/17,"1,285"
4/26/17,"1,272"
4/27/17,"1,246"
4/28/17,913
4/29/17,129
4/30/17,106
5/1/17,"1,046"
5/2/17,"1,236"
5/3/17,"1,293"
5/4/17,"1,207"
5/5/17,851
5/6/17,102
5/7/17,167
5/8/17,"1,266"
5/9/17,"1,296"
5/10/17,"1,326"
5/11/17,"1,230"
5/12/17,894
5/13/17,103
5/14/17,123
5/15/17,"1,199"
5/16/17,"1,237"
5/17/17,"1,192"
5/18/17,"1,172"
5/19/17,849
5/20/17,84
5/21/17,163
5/22/17,"1,074"
5/23/17,"1,190"
5/24/17,"1,183"
