# ----------------------------------------,,
# Cage Code Site Data,,
# Frequency & Recency,,
# 20160401-20180407,,
# ----------------------------------------,,
,,
Count of Sessions,Sessions,Pageviews
1,"269,920","938,493"
2,"64,274","244,720"
3,"33,374","132,936"
4,"22,801","92,505"
5,"17,364","68,442"
6,"14,105","57,238"
7,"11,910","48,455"
8,"10,428","41,107"
4-19,"42,982","161,143"
15-25,"42,676","153,299"
26-50,"44,619","156,782"
51-100,"34,648","111,448"
101-200,"22,624","69,507"
201+,"19,141","51,420"
,"650,866","2,327,495"
