# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Affinity Categories (reach),,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Affinity Category (reach),Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Lifestyles & Hobbies/Business Professionals,"85,016","72,642","242,106",19.53%,3.61,0:04:40,0.00%,0,$0.00 
Technology/Technophiles,"78,803","70,060","191,526",19.59%,3.64,0:04:35,0.00%,0,$0.00 
Banking & Finance/Avid Investors,"78,031","69,193","184,659",18.58%,3.64,0:04:22,0.00%,0,$0.00 
Travel/Travel Buffs,"72,278","63,477","163,115",19.22%,3.65,0:04:23,0.00%,0,$0.00 
News & Politics/News Junkies/Entertainment & Celebrity News Junkies,"62,437","57,001","138,305",17.98%,3.67,0:04:23,0.00%,0,$0.00 
News & Politics/News Junkies/Political News Junkies,"62,223","54,651","138,607",18.40%,3.62,0:04:17,0.00%,0,$0.00 
Home & Garden/Do-It-Yourselfers,"60,081","52,296","150,778",18.44%,3.65,0:04:29,0.00%,0,$0.00 
Vehicles & Transportation/Auto Enthusiasts,"59,858","50,854","148,526",18.87%,3.62,0:04:33,0.00%,0,$0.00 
Lifestyles & Hobbies/Shutterbugs,"57,654","51,163","128,320",18.99%,3.58,0:04:24,0.00%,0,$0.00 
Lifestyles & Hobbies/Outdoor Enthusiasts,"57,485","49,502","127,092",17.79%,3.62,0:04:16,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers,"56,545","49,680","127,306",20.02%,3.59,0:04:34,0.00%,0,$0.00 
Sports & Fitness/Health & Fitness Buffs,"52,660","45,856","111,878",18.26%,3.59,0:04:05,0.00%,0,$0.00 
Media & Entertainment/TV Lovers,"51,238","44,678","113,602",19.40%,3.6,0:04:32,0.00%,0,$0.00 
Sports & Fitness/Sports Fans,"50,664","43,699","111,146",18.41%,3.66,0:04:24,0.00%,0,$0.00 
Shoppers/Value Shoppers,"50,339","43,584","111,598",19.06%,3.56,0:04:07,0.00%,0,$0.00 
News & Politics/News Junkies/Business & Economic News Junkies,"49,368","42,836","114,951",18.57%,3.77,0:04:41,0.00%,0,$0.00 
Technology/Mobile Enthusiasts,"46,808","40,573","95,879",19.08%,3.59,0:04:14,0.00%,0,$0.00 
