# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
News/Weather,"32,971","28,848","70,063",15.71%,3.6,0:03:57,0.00%,0,$0.00 
Arts & Entertainment/Celebrities & Entertainment News,"29,346","25,958","61,139",18.40%,3.59,0:04:16,0.00%,0,$0.00 
Internet & Telecom/Email & Messaging,"25,730","22,715","52,518",17.24%,3.65,0:04:11,0.00%,0,$0.00 
Reference/General Reference/Dictionaries & Encyclopedias,"25,559","21,202","61,307",19.31%,3.74,0:04:22,0.00%,0,$0.00 
Travel/Air Travel,"25,551","21,551","57,549",19.88%,3.62,0:04:38,0.00%,0,$0.00 
News/Sports News,"21,394","19,025","49,853",17.97%,3.5,0:04:00,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/Online Video,"18,482","15,862","36,565",20.54%,3.37,0:04:11,0.00%,0,$0.00 
Business & Industrial/Aerospace & Defense/Defense Industry,"18,121","6,566","129,342",22.26%,3.53,0:05:42,0.00%,0,$0.00 
News/Politics/Campaigns & Elections,"15,998","13,805","31,112",17.98%,3.39,0:03:57,0.00%,0,$0.00 
Sports/Team Sports/American Football,"15,872","13,955","32,928",16.59%,3.42,0:03:38,0.00%,0,$0.00 
News/Politics,"14,378","12,269","27,637",16.38%,3.64,0:04:13,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Aviation,"13,209","10,555","35,905",20.87%,3.6,0:04:41,0.00%,0,$0.00 
Reference/General Reference/Calculators & Reference Tools,"12,443","9,428","31,118",18.04%,3.46,0:04:21,0.00%,0,$0.00 
Computers & Electronics/Electronics & Electrical/Electronic Components,"12,436","8,987","40,076",19.11%,3.66,0:05:11,0.00%,0,$0.00 
Business & Industrial/Business Operations/Management/Supply Chain Management,"11,498","2,399","104,222",23.23%,3.54,0:06:01,0.00%,0,$0.00 
Online Communities/Social Networks,"11,402","9,473","22,428",20.05%,3.52,0:04:13,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Residential Sales,"10,384","9,104","17,895",16.87%,3.45,0:03:20,0.00%,0,$0.00 
Travel/Hotels & Accommodations,"10,354","8,521","18,686",18.78%,3.68,0:04:07,0.00%,0,$0.00 
Reference/Directories & Listings/Business & Personal Listings,"9,824","7,300","22,871",17.54%,4.01,0:04:53,0.00%,0,$0.00 
News/Business News/Financial Markets News,"9,742","8,633","18,247",14.40%,3.94,0:04:00,0.00%,0,$0.00 
Reference/General Reference/Time & Calendars,"9,621","7,519","20,771",20.26%,3.57,0:03:51,0.00%,0,$0.00 
Shopping/Mass Merchants & Department Stores,"9,432","7,784","17,378",16.88%,3.42,0:03:33,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes,"9,232","7,716","16,066",16.60%,3.65,0:03:59,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,"9,215","7,558","17,403",20.42%,3.59,0:04:35,0.00%,0,$0.00 
Sports/Team Sports/Soccer,"9,185","8,063","23,668",19.22%,3.77,0:04:41,0.00%,0,$0.00 
Travel/Travel Agencies & Services,"8,741","7,310","14,849",17.88%,3.73,0:04:11,0.00%,0,$0.00 
News/Broadcast & Network News,"8,300","7,391","16,486",16.01%,3.68,0:03:56,0.00%,0,$0.00 
Computers & Electronics/Software/Business & Productivity Software/Spreadsheet Software,"8,246","6,560","17,244",16.95%,4.29,0:05:11,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Radio,"8,196","7,156","18,268",17.54%,3.4,0:04:23,0.00%,0,$0.00 
News/Newspapers,"7,876","6,885","17,295",19.22%,3.68,0:04:34,0.00%,0,$0.00 
Business & Industrial/Metals & Mining,"7,803","5,733","18,382",14.14%,3.56,0:03:58,0.00%,0,$0.00 
Sports/Team Sports/Baseball,"7,054","6,015","15,738",19.16%,3.52,0:04:01,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Streams & Downloads,"6,677","5,743","16,361",18.48%,3.48,0:05:29,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Pop Music,"6,564","5,371","14,931",19.06%,3.45,0:04:46,0.00%,0,$0.00 
Science/Astronomy,"6,505","5,212","12,572",15.96%,3.57,0:04:00,0.00%,0,$0.00 
Shopping/Consumer Resources/Coupons & Discount Offers,"6,501","5,254","14,692",20.36%,3.44,0:04:36,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance/Building Materials & Supplies/Nails Screws & Fasteners,"6,482","4,373","18,076",16.25%,3.63,0:04:34,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings,"6,439","5,314","12,015",20.77%,4.13,0:04:37,0.00%,0,$0.00 
Computers & Electronics/Software/Business & Productivity Software,"6,436","5,047","13,460",19.98%,3.55,0:04:14,0.00%,0,$0.00 
Jobs & Education/Education/Colleges & Universities,"6,312","5,118","10,931",18.44%,3.61,0:04:06,0.00%,0,$0.00 
Sports/Team Sports/Basketball,"6,285","5,367","12,239",15.80%,3.53,0:03:57,0.00%,0,$0.00 
Finance/Accounting & Auditing/Tax Preparation & Planning,"6,076","5,013","10,118",17.89%,3.53,0:03:33,0.00%,0,$0.00 
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,"6,047","5,039","16,267",23.19%,3.75,0:04:20,0.00%,0,$0.00 
Science/Mathematics,"5,987","4,480","11,588",17.51%,3.74,0:04:18,0.00%,0,$0.00 
Finance/Investing/Currencies & Foreign Exchange,"5,909","4,834","15,296",24.69%,3.54,0:04:29,0.00%,0,$0.00 
Internet & Telecom/Web Portals,"5,639","4,773","11,391",15.53%,3.8,0:04:02,0.00%,0,$0.00 
Business & Industrial/Aerospace & Defense/Space Technology,"5,601","4,513","10,590",12.73%,3.62,0:03:57,0.00%,0,$0.00 
Home & Garden/Home Improvement/Construction & Power Tools,"5,247","3,812","12,021",17.24%,3.44,0:04:56,0.00%,0,$0.00 
Computers & Electronics/Software/Software Utilities,"4,971","3,970","9,809",18.65%,3.84,0:04:32,0.00%,0,$0.00 
Law & Government/Government/Executive Branch,"4,786","4,042","8,422",18.90%,3.46,0:03:48,0.00%,0,$0.00 
Science/Physics,"4,688","3,587","9,078",14.61%,3.55,0:04:22,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Windows OS,"4,593","3,735","8,011",16.63%,3.84,0:04:29,0.00%,0,$0.00 
Pets & Animals/Pets/Dogs,"4,576","3,746","9,154",18.91%,3.63,0:04:31,0.00%,0,$0.00 
Sports/College Sports,"4,433","3,812","8,259",14.99%,3.46,0:03:33,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Comedies,"4,371","3,476","8,203",14.99%,3.5,0:03:58,0.00%,0,$0.00 
Law & Government/Government/Government Contracting & Procurement,"4,309","2,149","18,220",21.30%,3.68,0:05:52,0.00%,0,$0.00 
Law & Government/Military,"4,304","3,116","8,998",16.59%,4.34,0:05:03,0.00%,0,$0.00 
Business & Industrial/Industrial Materials & Equipment,"4,299","2,942","10,491",18.52%,3.45,0:04:46,0.00%,0,$0.00 
Real Estate/Real Estate Listings,"4,265","3,490","7,597",17.74%,3.88,0:04:23,0.00%,0,$0.00 
