# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),"17,470","16,871","27,868",22.10%,3.37,00:03:22,0.00%,0,$0.00
time warner cable internet llc,"9,999","9,678","24,836",17.79%,3.41,00:03:42,0.00%,0,$0.00
navy network information center (nnic),"9,078","8,935","21,937",15.24%,3.47,00:04:03,0.00%,0,$0.00
the boeing company,"5,712","5,685","13,690",12.49%,3.64,00:04:02,0.00%,0,$0.00
comcast cable communications llc,"5,444","5,139","12,704",16.22%,3.32,00:03:21,0.00%,0,$0.00
lockheed martin corporation,"5,377","4,662","13,884",19.50%,3.33,00:04:57,0.00%,0,$0.00
mci communications services inc. d/b/a verizon business,"5,048","4,864","10,431",20.85%,3.45,00:04:09,0.00%,0,$0.00
raytheon company,"4,504","4,566","12,502",11.76%,4.05,00:04:53,0.00%,0,$0.00
headquarters usaisc,"4,427","4,375","10,281",16.58%,3.84,00:05:13,0.00%,0,$0.00
northrop grumman corp.,"4,015","3,986","13,194",13.01%,3.74,00:04:52,0.00%,0,$0.00
cox communications inc.,"3,904","3,806","8,303",13.66%,3.38,00:03:46,0.00%,0,$0.00
dod network information center,"3,673","3,660","6,829",17.95%,3.39,00:03:19,0.00%,0,$0.00
cox communications,"3,519","3,426","8,903",22.70%,3.27,00:04:49,0.00%,0,$0.00
general electric company,"3,383","2,656","8,346",21.69%,3.32,00:05:30,0.00%,0,$0.00
charter communications,"3,083","3,056","6,411",18.23%,3.39,00:03:53,0.00%,0,$0.00
united technologies research center,"3,023","3,005","6,003",13.83%,3.51,00:03:13,0.00%,0,$0.00
l-3 communications corporation,"2,542","2,607","6,583",9.36%,3.98,00:04:38,0.00%,0,$0.00
tw telecom holdings inc.,"2,526","2,467","6,797",32.81%,3.31,00:04:12,0.00%,0,$0.00
national aeronautics and space administration,"2,489","2,454","5,494",12.58%,3.68,00:03:40,0.00%,0,$0.00
comcast cable communications holdings inc,"2,386","2,253","6,607",24.84%,2.91,00:03:13,0.00%,0,$0.00
comcast business communications llc,"2,148","2,103","6,816",37.21%,2.74,00:02:42,0.00%,0,$0.00
vitro corporation,"2,129","2,103","5,683",12.81%,3.51,00:04:40,0.00%,0,$0.00
zscaler inc.,"2,071","1,974","4,197",13.96%,3.60,00:03:49,0.00%,0,$0.00
honeywell international inc.,"1,823","1,817","4,239",12.81%,3.63,00:04:04,0.00%,0,$0.00
comcast ip services l.l.c.,"1,806","1,688","2,735",18.17%,3.22,00:03:06,0.00%,0,$0.00
comcast cable communications inc.,"1,682","1,584","3,322",22.31%,3.05,00:03:45,0.00%,0,$0.00
level 3 communications inc.,"1,589","1,562","2,692",14.26%,3.85,00:03:44,0.00%,0,$0.00
google inc.,"1,447","1,447","1,447",99.79%,1.00,<00:00:01,0.00%,0,$0.00
at&t internet services,"1,434","1,337","2,077",15.94%,3.24,00:02:38,0.00%,0,$0.00
ge drive systems,"1,418","1,396","2,664",14.64%,3.28,00:02:52,0.00%,0,$0.00
jsc er-telecom holding samara branch,"1,410","1,444","1,720",1.80%,2.01,00:01:14,0.00%,0,$0.00
japan network information center,"1,326","1,343","3,088",17.88%,3.78,00:04:01,0.00%,0,$0.00
qwest communications company llc,"1,322","1,273","2,656",17.62%,4.55,00:04:13,0.00%,0,$0.00
harris corporation,"1,268","1,243","3,772",12.17%,3.29,00:03:41,0.00%,0,$0.00
scansafe services llc,"1,247","1,204","2,308",14.04%,3.81,00:03:50,0.00%,0,$0.00
ftip003410998 avtrade ltd,"1,204","1,202","2,969",40.28%,1.92,00:03:19,0.00%,0,$0.00
textron financial corporation,"1,152","1,125","2,361",10.50%,3.29,00:02:55,0.00%,0,$0.00
bombardier incorporated,"1,151","1,096","3,661",13.22%,3.15,00:03:11,0.00%,0,$0.00
korea telecom,"1,091","1,078","2,476",13.65%,5.35,00:07:25,0.00%,0,$0.00
airbus defense and space gmbh,"1,048","1,031","2,215",16.57%,3.46,00:03:08,0.00%,0,$0.00
psinet inc.,962,913,"1,546",16.88%,3.81,00:03:23,0.00%,0,$0.00
verizon online llc,962,879,"1,997",19.38%,3.87,00:04:26,0.00%,0,$0.00
at&t mobility llc,900,830,"1,116",27.87%,2.67,00:01:54,0.00%,0,$0.00
rockwell collins inc.,896,881,"2,468",23.26%,3.82,00:05:24,0.00%,0,$0.00
general dynamics advanced information systems inc.,894,900,"3,182",8.58%,3.92,00:04:17,0.00%,0,$0.00
optimum online (cablevision systems),894,873,"1,928",33.25%,2.73,00:02:19,0.00%,0,$0.00
emirates telecommunications corporation,838,809,"3,241",24.47%,3.67,00:06:42,0.00%,0,$0.00
frontier communications of america inc.,831,813,"1,303",12.20%,3.37,00:02:48,0.00%,0,$0.00
alliant techsystems operations llc,818,797,"2,401",11.79%,3.91,00:04:23,0.00%,0,$0.00
drs technologies,813,793,"2,530",12.49%,3.81,00:05:05,0.00%,0,$0.00
computer sciences corporation,775,742,"1,757",12.12%,4.57,00:05:33,0.00%,0,$0.00
frontier communications corporation,742,708,"1,893",17.01%,4.90,00:05:08,0.00%,0,$0.00
deutsche telekom ag,707,691,"1,138",17.22%,3.36,00:03:22,0.00%,0,$0.00
general dynamics corporation land systems division,680,701,"1,737",11.40%,3.61,00:02:54,0.00%,0,$0.00
ibm d aviation industry services gmbh,631,615,"1,452",12.47%,4.71,00:04:41,0.00%,0,$0.00
industrie,607,611,992,21.47%,3.26,00:02:45,0.00%,0,$0.00
sympatico hse,571,548,"1,114",16.52%,3.16,00:02:48,0.00%,0,$0.00
xo communications,570,544,"1,286",14.07%,3.43,00:03:32,0.00%,0,$0.00
ipv4 address block not managed by the ripe ncc,544,479,969,19.50%,3.01,00:02:43,0.00%,0,$0.00
internet service provider,539,513,"1,760",21.08%,5.69,00:04:32,0.00%,0,$0.00
be aerospace inc.,523,515,"1,078",11.13%,3.36,00:02:41,0.00%,0,$0.00
saic,521,501,"1,408",17.61%,4.08,00:05:00,0.00%,0,$0.00
reist telecom gmbh,513,508,793,17.15%,3.79,00:03:21,0.00%,0,$0.00
bright house networks llc,505,491,"1,333",9.53%,3.44,00:03:18,0.00%,0,$0.00
