# ----------------------------------------
# Cage Code Site Data
# Pages
# 20160401-20180407
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"1,982,563","578,799",00:01:36,"577,479",18.78%,28.22%,$0.00
/index.php,"325,681","91,711",00:02:04,"70,999",24.69%,26.34%,$0.00
/contact.html,"3,710","3,055",00:01:08,330,58.48%,31.70%,$0.00
/#results,638,522,00:03:46,513,70.96%,66.30%,$0.00
/services.html,370,292,00:00:31,32,59.38%,25.68%,$0.00
/sharebutton.to,243,84,00:00:00,84,2.38%,34.57%,$0.00
/?+BETTS=,101,85,00:03:09,33,21.21%,34.65%,$0.00
/www1.free-share-buttons.top,97,33,00:00:00,33,0.00%,34.02%,$0.00
/?+Associates=,84,68,00:01:43,2,100.00%,39.29%,$0.00
/?+Whitney=,81,66,00:02:09,12,16.67%,35.80%,$0.00
,"2,327,495","686,829",00:01:40,"650,865",19.51%,27.96%,$0.00

Day Index,Pageviews
4/1/16,"2,889"
4/2/16,271
4/3/16,469
4/4/16,"3,767"
4/5/16,"4,338"
4/6/16,"4,081"
4/7/16,"3,788"
4/8/16,"3,109"
4/9/16,409
4/10/16,373
4/11/16,"4,074"
4/12/16,"4,565"
4/13/16,"4,224"
4/14/16,"4,454"
4/15/16,"3,992"
4/16/16,215
4/17/16,472
4/18/16,"3,882"
4/19/16,"3,752"
4/20/16,"4,049"
4/21/16,"3,320"
4/22/16,"2,339"
4/23/16,47
4/24/16,343
4/25/16,"3,741"
4/26/16,"4,048"
4/27/16,"4,308"
4/28/16,"4,211"
4/29/16,"2,870"
4/30/16,359
5/1/16,572
5/2/16,"3,579"
5/3/16,"3,701"
5/4/16,"4,178"
5/5/16,"3,043"
5/6/16,"2,267"
5/7/16,237
5/8/16,355
5/9/16,"3,399"
5/10/16,"3,797"
5/11/16,"3,841"
5/12/16,"3,969"
5/13/16,"3,092"
5/14/16,225
5/15/16,366
5/16/16,"3,698"
5/17/16,"3,699"
5/18/16,"3,640"
5/19/16,"3,357"
5/20/16,"2,337"
5/21/16,965
5/22/16,402
5/23/16,"3,108"
5/24/16,"3,808"
5/25/16,"3,667"
5/26/16,"3,383"
5/27/16,"2,586"
5/28/16,215
5/29/16,510
5/30/16,"1,197"
5/31/16,"3,097"
6/1/16,"3,286"
6/2/16,"3,556"
6/3/16,"2,473"
6/4/16,236
6/5/16,395
6/6/16,"3,557"
6/7/16,"3,746"
6/8/16,"3,749"
6/9/16,"4,275"
6/10/16,"3,721"
6/11/16,473
6/12/16,"1,102"
6/13/16,"4,718"
6/14/16,"4,031"
6/15/16,"4,006"
6/16/16,"4,079"
6/17/16,"2,601"
6/18/16,727
6/19/16,841
6/20/16,"3,971"
6/21/16,"4,044"
6/22/16,"3,952"
6/23/16,"3,650"
6/24/16,"2,456"
6/25/16,271
6/26/16,874
6/27/16,"3,276"
6/28/16,"4,397"
6/29/16,"4,332"
6/30/16,"4,193"
7/1/16,"2,280"
7/2/16,350
7/3/16,450
7/4/16,"1,051"
7/5/16,"3,437"
7/6/16,"3,968"
7/7/16,"3,757"
7/8/16,"2,823"
7/9/16,279
7/10/16,"1,056"
7/11/16,"3,629"
7/12/16,"4,177"
7/13/16,"4,020"
7/14/16,"3,659"
7/15/16,"2,743"
7/16/16,192
7/17/16,681
7/18/16,"3,265"
7/19/16,"4,335"
7/20/16,"3,723"
7/21/16,"4,494"
7/22/16,"2,708"
7/23/16,173
7/24/16,691
7/25/16,"4,292"
7/26/16,"3,485"
7/27/16,"4,341"
7/28/16,"3,886"
7/29/16,"2,271"
7/30/16,261
7/31/16,438
8/1/16,"3,330"
8/2/16,"4,068"
8/3/16,"3,994"
8/4/16,"3,692"
8/5/16,"2,743"
8/6/16,315
8/7/16,447
8/8/16,"3,800"
8/9/16,"4,042"
8/10/16,"4,016"
8/11/16,"3,278"
8/12/16,"2,566"
8/13/16,283
8/14/16,420
8/15/16,"3,344"
8/16/16,"3,982"
8/17/16,"4,307"
8/18/16,"3,362"
8/19/16,"2,423"
8/20/16,300
8/21/16,453
8/22/16,"3,266"
8/23/16,"4,087"
8/24/16,"3,692"
8/25/16,"3,369"
8/26/16,"2,374"
8/27/16,288
8/28/16,640
8/29/16,"4,442"
8/30/16,"3,936"
8/31/16,"3,668"
9/1/16,"3,309"
9/2/16,"2,254"
9/3/16,282
9/4/16,498
9/5/16,"1,349"
9/6/16,"3,913"
9/7/16,"3,898"
9/8/16,"4,207"
9/9/16,"2,364"
9/10/16,390
9/11/16,539
9/12/16,"3,642"
9/13/16,"5,121"
9/14/16,"4,289"
9/15/16,"4,122"
9/16/16,"3,061"
9/17/16,275
9/18/16,439
9/19/16,"4,028"
9/20/16,"4,045"
9/21/16,"4,150"
9/22/16,"4,377"
9/23/16,"2,885"
9/24/16,471
9/25/16,808
9/26/16,"4,006"
9/27/16,"4,567"
9/28/16,"5,200"
9/29/16,"4,755"
9/30/16,"3,056"
10/1/16,357
10/2/16,358
10/3/16,"3,783"
10/4/16,"4,313"
10/5/16,"4,027"
10/6/16,"4,921"
10/7/16,"2,763"
10/8/16,325
10/9/16,562
10/10/16,"3,026"
10/11/16,"4,468"
10/12/16,"4,628"
10/13/16,"3,819"
10/14/16,"3,366"
10/15/16,539
10/16/16,607
10/17/16,"3,960"
10/18/16,"3,843"
10/19/16,"4,265"
10/20/16,"4,054"
10/21/16,"2,645"
10/22/16,279
10/23/16,401
10/24/16,"3,481"
10/25/16,"3,679"
10/26/16,"3,734"
10/27/16,"3,928"
10/28/16,"2,614"
10/29/16,262
10/30/16,864
10/31/16,"3,893"
11/1/16,"3,630"
11/2/16,"3,609"
11/3/16,"4,307"
11/4/16,"2,607"
11/5/16,318
11/6/16,644
11/7/16,"3,936"
11/8/16,"4,145"
11/9/16,"4,926"
11/10/16,"3,825"
11/11/16,"2,233"
11/12/16,309
11/13/16,587
11/14/16,"3,705"
11/15/16,"4,010"
11/16/16,"3,610"
11/17/16,"3,950"
11/18/16,"2,659"
11/19/16,292
11/20/16,560
11/21/16,"3,775"
11/22/16,"3,545"
11/23/16,"2,737"
11/24/16,"1,882"
11/25/16,"1,527"
11/26/16,459
11/27/16,"1,302"
11/28/16,"4,050"
11/29/16,"4,621"
11/30/16,"3,945"
12/1/16,"3,878"
12/2/16,"3,015"
12/3/16,388
12/4/16,547
12/5/16,"4,204"
12/6/16,"4,086"
12/7/16,"4,115"
12/8/16,"3,828"
12/9/16,"2,726"
12/10/16,289
12/11/16,473
12/12/16,"3,466"
12/13/16,"3,691"
12/14/16,"3,660"
12/15/16,"3,916"
12/16/16,"2,416"
12/17/16,403
12/18/16,698
12/19/16,"3,405"
12/20/16,"3,531"
12/21/16,"3,017"
12/22/16,"2,644"
12/23/16,954
12/24/16,168
12/25/16,188
12/26/16,538
12/27/16,"1,706"
12/28/16,"1,539"
12/29/16,"1,652"
12/30/16,936
12/31/16,158
1/1/17,199
1/2/17,813
1/3/17,"3,005"
1/4/17,"3,704"
1/5/17,"3,556"
1/6/17,"2,675"
1/7/17,343
1/8/17,518
1/9/17,"4,047"
1/10/17,"4,623"
1/11/17,"4,457"
1/12/17,"4,659"
1/13/17,"3,353"
1/14/17,470
1/15/17,744
1/16/17,"3,468"
1/17/17,"4,374"
1/18/17,"4,854"
1/19/17,"4,647"
1/20/17,"3,059"
1/21/17,290
1/22/17,780
1/23/17,"4,033"
1/24/17,"5,025"
1/25/17,"4,351"
1/26/17,"3,619"
1/27/17,"3,133"
1/28/17,487
1/29/17,499
1/30/17,"4,253"
1/31/17,"4,440"
2/1/17,"4,222"
2/2/17,"4,269"
2/3/17,"3,742"
2/4/17,422
2/5/17,"1,158"
2/6/17,"4,760"
2/7/17,"5,082"
2/8/17,"5,373"
2/9/17,"5,045"
2/10/17,"4,550"
2/11/17,520
2/12/17,733
2/13/17,"4,781"
2/14/17,"5,254"
2/15/17,"5,867"
2/16/17,"6,757"
2/17/17,"4,203"
2/18/17,472
2/19/17,995
2/20/17,"4,756"
2/21/17,"5,217"
2/22/17,"5,076"
2/23/17,"4,507"
2/24/17,"3,505"
2/25/17,562
2/26/17,609
2/27/17,"5,055"
2/28/17,"3,906"
3/1/17,"4,897"
3/2/17,"4,690"
3/3/17,"3,867"
3/4/17,399
3/5/17,908
3/6/17,"5,270"
3/7/17,"5,300"
3/8/17,"5,712"
3/9/17,"5,766"
3/10/17,"3,452"
3/11/17,478
3/12/17,648
3/13/17,"6,028"
3/14/17,"5,377"
3/15/17,"5,056"
3/16/17,"5,280"
3/17/17,"3,631"
3/18/17,443
3/19/17,724
3/20/17,"4,766"
3/21/17,"5,373"
3/22/17,"5,799"
3/23/17,"4,995"
3/24/17,"3,924"
3/25/17,494
3/26/17,938
3/27/17,"5,887"
3/28/17,"5,961"
3/29/17,"5,967"
3/30/17,"5,181"
3/31/17,"4,177"
4/1/17,687
4/2/17,"1,061"
4/3/17,"5,234"
4/4/17,"5,841"
4/5/17,"5,952"
4/6/17,"5,744"
4/7/17,"3,989"
4/8/17,434
4/9/17,608
4/10/17,"5,328"
4/11/17,"5,920"
4/12/17,"6,045"
4/13/17,"4,702"
4/14/17,"2,393"
4/15/17,384
4/16/17,461
4/17/17,"4,561"
4/18/17,"5,431"
4/19/17,"5,535"
4/20/17,"5,203"
4/21/17,"3,293"
4/22/17,374
4/23/17,647
4/24/17,"5,297"
4/25/17,"5,628"
4/26/17,"5,286"
4/27/17,"5,732"
4/28/17,"4,293"
4/29/17,597
4/30/17,473
5/1/17,"4,778"
5/2/17,"5,248"
5/3/17,"5,557"
5/4/17,"4,986"
5/5/17,"3,546"
5/6/17,545
5/7/17,719
5/8/17,"4,877"
5/9/17,"5,360"
5/10/17,"5,682"
5/11/17,"5,155"
5/12/17,"3,947"
5/13/17,303
5/14/17,451
5/15/17,"5,186"
5/16/17,"4,952"
5/17/17,"5,309"
5/18/17,"5,142"
5/19/17,"3,930"
5/20/17,467
5/21/17,755
5/22/17,"4,568"
5/23/17,"5,677"
5/24/17,"5,297"
5/25/17,"4,503"
5/26/17,"3,226"
5/27/17,361
5/28/17,807
5/29/17,"1,521"
5/30/17,"4,972"
5/31/17,"5,091"
6/1/17,"4,702"
6/2/17,"3,180"
6/3/17,384
6/4/17,615
6/5/17,"4,423"
6/6/17,"4,751"
6/7/17,"4,849"
6/8/17,"4,315"
6/9/17,"3,381"
6/10/17,297
6/11/17,524
6/12/17,"4,170"
6/13/17,"4,486"
6/14/17,"4,934"
6/15/17,"4,781"
6/16/17,"3,086"
6/17/17,329
6/18/17,600
6/19/17,"4,469"
6/20/17,"4,885"
6/21/17,"4,101"
6/22/17,"3,788"
6/23/17,"2,224"
6/24/17,315
6/25/17,565
6/26/17,"4,524"
6/27/17,"3,121"
6/28/17,"3,880"
6/29/17,"3,560"
6/30/17,"2,556"
7/1/17,250
7/2/17,608
7/3/17,"3,103"
7/4/17,"1,669"
7/5/17,"4,536"
7/6/17,"4,521"
7/7/17,"3,192"
7/8/17,368
7/9/17,603
7/10/17,"4,241"
7/11/17,"5,047"
7/12/17,"5,345"
7/13/17,"4,739"
7/14/17,"2,927"
7/15/17,833
7/16/17,547
7/17/17,"4,464"
7/18/17,"4,628"
