# ----------------------------------------
# Cage Code Site Data
# Search Terms
# 20160401-20180407
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth
eros,"1,618",1.36,47.65%,45.28%,00:01:11,0.33
Vishay,"1,198",1.34,39.48%,37.66%,00:05:33,0.49
honeywell,"1,190",1.24,46.89%,30.26%,00:03:11,0.74
3M,"1,007",1.28,46.38%,46.52%,00:03:35,0.48
boeing,627,1.19,50.08%,31.63%,00:02:21,0.68
amphenol,613,1.24,45.68%,44.15%,00:03:43,0.82
TE CONNECTIVITY,573,1.21,46.95%,43.80%,00:03:40,0.61
Honeywell,568,1.34,51.58%,28.61%,00:03:18,0.75
TE Connectivity,542,1.20,38.75%,52.37%,00:04:25,0.51
AMPHENOL,537,1.25,50.09%,46.13%,00:03:33,0.74
raytheon,511,1.20,52.25%,27.00%,00:02:06,0.53
MCMASTER CARR,509,1.12,43.61%,40.14%,00:01:39,0.42
pratt,509,1.31,35.36%,43.39%,00:01:20,0.55
VISHAY,507,1.28,41.42%,45.78%,00:03:02,0.85
AIRBUS,501,1.07,78.24%,8.60%,00:01:49,0.27
Raytheon,490,1.28,53.27%,22.77%,00:02:18,0.93
Boeing,489,1.23,50.31%,26.41%,00:02:24,0.78
3m,484,1.24,47.52%,43.93%,00:02:57,0.49
B,478,1.67,38.28%,37.17%,00:03:39,0.55
mcmaster carr,475,1.13,41.89%,38.10%,00:02:16,0.59
Solartron Metrology,466,1.30,6.22%,68.05%,00:02:01,0.59
eaton,465,1.27,43.01%,48.14%,00:03:51,0.56
ALCOA,462,1.18,24.68%,40.77%,00:03:27,0.94
te connectivity,457,1.26,39.39%,51.30%,00:03:42,0.56
parker,456,1.25,39.91%,47.11%,00:02:14,0.53
TECHNI,452,1.39,49.34%,46.02%,00:01:09,0.38
HONEYWELL,448,1.24,44.42%,40.97%,00:03:37,0.57
digi-key,445,1.20,22.25%,38.81%,00:03:25,0.82
glenair,442,1.24,37.10%,44.32%,00:01:58,0.56
Amphenol,427,1.25,46.37%,44.47%,00:03:54,0.76
EATON,423,1.21,36.17%,55.08%,00:04:04,0.52
dell,409,1.29,45.72%,46.21%,00:01:44,0.39
MCMASTER,394,1.26,40.86%,34.14%,00:02:10,1.03
vishay,394,1.24,44.16%,46.33%,00:04:01,0.59
grainger,350,1.17,51.14%,39.51%,00:03:06,0.47
mcmaster,341,1.13,45.45%,47.01%,00:01:48,0.38
MCMASTER-CARR,338,1.11,64.79%,30.48%,00:02:28,0.28
Lockheed Martin,337,1.19,53.71%,27.00%,00:02:28,0.57
alcoa,334,1.26,41.32%,46.45%,00:02:54,0.68
parker hannifin,325,1.14,40.92%,37.90%,00:03:14,0.63
C,318,1.48,44.97%,34.18%,00:03:17,0.63
mcmaster-carr,313,1.11,61.02%,31.32%,00:02:21,0.38
lockheed martin,307,1.17,54.40%,27.58%,00:01:52,0.67
PARKER HANNIFIN,302,1.19,50.00%,44.17%,00:03:29,0.41
MOLEX,301,1.14,58.14%,33.63%,00:03:17,0.43
PARKER,298,1.21,41.95%,50.42%,00:03:19,0.52
honeywell intl. inc.,293,1.17,5.80%,18.90%,00:01:33,1.10
zodiac,289,1.30,42.56%,39.36%,00:03:08,0.76
rockwell collins,283,1.16,40.28%,42.55%,00:02:02,0.52
Northrop Grumman,281,1.31,59.07%,27.91%,00:03:05,0.77
SYBA,279,1.14,2.15%,23.90%,00:02:44,1.34
henkel,277,1.26,44.77%,47.70%,00:03:23,0.51
BOEING,266,1.13,47.74%,36.54%,00:03:12,0.53
McMaster-Carr,265,1.22,57.36%,31.17%,00:02:09,0.40
molex,264,1.16,47.35%,46.56%,00:03:44,0.39
northrop grumman,264,1.28,53.41%,26.92%,00:02:33,0.58
federal industries,261,2.92,22.99%,41.39%,00:02:43,1.38
GLENAIR,259,1.10,52.51%,37.06%,00:03:00,0.48
airbus,253,1.27,52.17%,36.45%,00:02:54,0.62
Fractal,252,1.27,4.76%,51.25%,00:02:17,0.80
Airbus,247,1.23,38.87%,33.99%,00:01:43,0.61
fastenal,247,1.16,60.32%,33.57%,00:02:47,0.44
bombardier,244,1.25,55.33%,30.92%,00:01:44,0.55
GRAINGER,244,1.11,49.18%,43.75%,00:03:48,0.28
L-COM,239,1.19,49.37%,48.07%,00:02:22,0.35
panasonic,234,1.26,45.30%,43.39%,00:03:31,0.53
arconic,227,1.27,25.99%,59.86%,00:01:47,0.53
HP,226,1.21,17.26%,70.07%,00:02:10,0.51
Eaton,224,1.16,41.96%,43.24%,00:03:11,0.48
FASTENAL,221,1.18,61.99%,26.82%,00:02:47,0.41
microsemi,221,1.42,47.06%,41.08%,00:03:32,0.57
samsung,221,1.15,27.60%,62.20%,00:03:04,0.32
MOOG,220,1.13,30.00%,38.31%,00:02:10,0.63
Parker Hannifin,217,1.16,42.40%,45.63%,00:02:18,0.49
goodrich,214,1.23,41.12%,46.77%,00:03:24,0.72
PANDUIT,214,1.18,59.81%,34.13%,00:02:56,0.31
ITT CANNON,211,1.22,53.55%,34.63%,00:03:12,0.64
tyco,207,1.19,35.27%,46.75%,00:02:34,0.65
cisco,206,1.11,43.20%,50.44%,00:02:48,0.36
HENKEL,206,1.15,50.49%,41.35%,00:03:26,0.49
DELL,204,1.26,38.73%,52.92%,00:03:18,0.35
SHELL,201,1.31,20.40%,50.57%,00:01:33,0.79
AVX,200,1.14,37.00%,56.39%,00:04:18,0.48
meggitt,200,1.24,48.00%,39.52%,00:03:12,0.76
cobham,197,1.21,46.70%,45.80%,00:03:11,0.47
heyco,197,1.32,19.80%,54.62%,00:01:20,0.48
A,195,1.87,39.49%,29.32%,00:02:23,0.61
rechtien,194,1.02,32.99%,48.48%,00:14:39,2.16
Grainger,193,1.18,43.52%,45.61%,00:03:07,0.45
PHOENIX CONTACT,193,1.13,27.98%,63.30%,00:01:46,0.31
McMaster Carr,192,1.11,32.29%,46.01%,00:02:26,0.62
hydradyne,187,1.36,16.58%,71.37%,00:01:43,0.11
L3,187,1.24,35.29%,52.16%,00:02:48,0.43
Dell,186,1.18,39.25%,48.64%,00:02:22,0.39
general dynamics,182,1.23,51.65%,39.01%,00:02:44,0.87
toko,182,1.12,90.11%,7.88%,00:00:38,0.09
