# ----------------------------------------
# Cage Code Site Data
# Site Search Usage
# 20160401-20180407
# ----------------------------------------

Site Search Status,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Visits Without Site Search,"392,050",38.98%,"152,836",26.93%,2.92,00:03:15,0.00%,0,$0.00
Visits With Site Search,"258,816",45.24%,"117,084",8.27%,4.57,00:05:53,0.00%,0,$0.00
,"650,866",41.47%,"269,920",19.51%,3.58,00:04:18,0.00%,0,$0.00

Day Index,Sessions
4/1/16,777
4/2/16,76
4/3/16,114
4/4/16,"1,019"
4/5/16,"1,201"
4/6/16,"1,115"
4/7/16,"1,078"
4/8/16,788
4/9/16,93
4/10/16,112
4/11/16,"1,093"
4/12/16,"1,206"
4/13/16,"1,145"
4/14/16,"1,140"
4/15/16,"1,042"
4/16/16,75
4/17/16,129
4/18/16,"1,110"
4/19/16,"1,044"
4/20/16,"1,073"
4/21/16,962
4/22/16,685
4/23/16,28
4/24/16,84
4/25/16,"1,038"
4/26/16,"1,153"
4/27/16,"1,052"
4/28/16,"1,047"
4/29/16,762
4/30/16,84
5/1/16,108
5/2/16,932
5/3/16,"1,115"
5/4/16,"1,081"
5/5/16,874
5/6/16,654
5/7/16,74
5/8/16,108
5/9/16,979
5/10/16,"1,099"
5/11/16,"1,037"
5/12/16,"1,069"
5/13/16,821
5/14/16,58
5/15/16,109
5/16/16,997
5/17/16,"1,025"
5/18/16,"1,054"
5/19/16,990
5/20/16,684
5/21/16,83
5/22/16,123
5/23/16,875
5/24/16,993
5/25/16,967
5/26/16,922
5/27/16,671
5/28/16,64
5/29/16,135
5/30/16,285
5/31/16,875
6/1/16,999
6/2/16,979
6/3/16,665
6/4/16,93
6/5/16,119
6/6/16,926
6/7/16,"1,060"
6/8/16,"1,034"
6/9/16,"1,091"
6/10/16,757
6/11/16,73
6/12/16,122
6/13/16,"1,016"
6/14/16,"1,080"
6/15/16,"1,024"
6/16/16,"1,046"
6/17/16,674
6/18/16,59
6/19/16,126
6/20/16,991
6/21/16,"1,065"
6/22/16,"1,052"
6/23/16,997
6/24/16,723
6/25/16,78
6/26/16,131
6/27/16,"1,016"
