,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID,IMDBrating,Viewers,PosTotal,NegTotal,CompTotal,LineCountTotal,WordCountTotal,PosJerry,NegJerry,CompJerry,LineCountJerry,WordCountJerry,PosGeorge,NegGeorge,CompGeorge,LineCountGeorge,WordCountGeorge,PosKramer,NegKramer,CompKramer,LineCountKramer,WordCountKramer,PosElaine,NegElaine,CompElaine,LineCountElaine,WordCountElaine,PosSecond,NegSecond,CompSecond,LineCountSecond,WordCountSecond,PosOther,NegOther,CompOther,LineCountOther,WordCountOther,TwoParter,Pilot,Finale
0,1,1,The Stakeout,31-May-90,"Larry David, Jerry Seinfeld",Tom Cherones,S01E01,7.8,22.5,0.107816013,0.160430052,0.063446673,557,6582,0.113249872,0.233425013,0.063716556,250,3902,0.092752322,0.07033354,0.039463364,98,969,0.039038462,-0.154942308,0.142961538,7,52,0.095643045,-0.012478215,0.093031496,53,381,0.125155902,0.107826949,0.068993318,59,449,0.100364294,0.049903378,0.06862123,90,829,1,1,0
1,1,2,The Robbery,7-Jun-90,Matt Goldman,Tom Cherones,S01E02,7.7,19.7,0.100300796,-0.004003366,0.068076805,280,3268,0.079146907,-0.134019523,0.073063144,110,1552,0.118688604,-0.013624077,0.084086677,68,623,0.13462249,0.234742169,0.050634538,18,249,0.123047368,0.162912632,0.049738596,57,570,,,,,,0.09980292,0.190117153,0.057430657,27,274,0,0,0
2,1,3,Male Unbonding,14-Jun-90,"Larry David, Jerry Seinfeld",Tom Cherones,S01E03,7.5,19.1,0.095904028,0.118191914,0.069294135,241,3376,0.10004417,0.181342521,0.070812721,102,1698,0.061641628,0.01652144,0.067881064,51,639,0.118167247,0.093930662,0.070163763,24,287,0.076711712,-0.126342793,0.126558559,19,222,,,,,,0.119932075,0.15401717,0.041675472,45,530,0,0,0
3,1,4,The Stock Tip,21-Jun-90,"Larry David, Jerry Seinfeld",Tom Cherones,S01E04,7.7,19.4,0.090592615,-0.013446689,0.067963991,230,3277,0.11420578,0.003124509,0.064938728,102,1730,0.045892097,-0.149242705,0.076533435,44,658,0.064161017,0.10757839,0.044847458,18,236,0.071208,0.022277067,0.092613333,29,375,,,,,,0.098035971,0.053917626,0.052881295,37,278,0,0,0
4,2,1,The Ex-Girlfriend,16-Jan-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E01,7.8,15.6,0.103583527,0.078673057,0.083959687,245,3448,0.106550032,0.146833461,0.082964946,107,1569,0.097092135,-0.062400112,0.094708989,55,890,0.151388235,0.118009804,0.07245098,37,255,0.07186551,0.066056616,0.091689805,23,461,,,,,,0.116604396,0.131408425,0.05232967,23,273,0,0,0
5,2,2,The Pony Remark,30-Jan-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E02,8.1,15.2,0.089839437,-0.019575931,0.084098592,250,3195,0.084947989,-0.037840499,0.073237171,90,1442,0.058625514,-0.363846502,0.143366255,12,243,0.094605505,0.06748945,0.085458716,23,218,0.077940476,-0.088979167,0.096744048,31,336,0.114262697,0.158910333,0.064267951,67,571,0.099324675,0.012680779,0.104976623,27,385,0,0,0
6,2,3,The Jacket,6-Feb-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E03,8.5,14.8,0.09282439,-0.049544599,0.081639721,261,2870,0.076114688,-0.232813078,0.108547284,97,994,0.08076326,-0.196217723,0.08622251,53,773,0.12475,0.172663,0.01982,35,300,0.094388186,0.304976582,0.071198312,33,474,,,,,,0.140282675,0.135385106,0.060990881,43,329,0,0,0
7,2,4,The Phone Message,13-Feb-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E04,8.6,13.6,0.120099312,0.157351152,0.068939276,264,3343,0.109105936,0.146569315,0.062736986,92,1095,0.105127199,0.123145805,0.087964817,89,1478,0.078313043,0.443905217,0.011382609,9,115,0.119793651,0.190613228,0.024634921,15,189,,,,,,0.203854077,0.206967811,0.055343348,59,466,0,0,0
8,2,5,The Apartment,4-Apr-91,Peter Mehlman,Tom Cherones,S02E05,8,24.7,0.110000584,0.167795881,0.069265557,281,3423,0.102417257,0.211659627,0.07416935,102,1553,0.085789357,0.024457206,0.085853659,43,451,0.133777027,0.199147973,0.055506757,29,296,0.10732737,0.158863327,0.064250447,51,559,,,,,,0.140413121,0.15403422,0.054689716,56,564,0,0,0
9,2,6,The Statue,11-Apr-91,Larry David,Tom Cherones,S02E06,8.2,23.3,0.121994175,0.127199601,0.079669834,292,3262,0.11814417,0.247274134,0.05729682,87,1415,0.104488372,-0.128041324,0.128543828,56,559,0.150235294,-0.049652206,0.136856618,30,272,0.107493827,0.122739815,0.062978395,41,324,,,,,,0.139696532,0.159458092,0.071274566,78,692,0,0,0
