,SEID,EpisodeNo,Season,SentimentTotal,LineCountTotal,WordCountTotal,SentimentJerry,LineCountJerry,WordCountJerry,SentimentGeorge,LineCountGeorge,WordCountGeorge,SentimentKramer,LineCountKramer,WordCountKramer,SentimentElaine,LineCountElaine,WordCountElaine,SentimentMainChars,LineCountMainChars,WordCountMainChars,SentimentSecondary,LineCountSecondary,WordCountSecondary,SentimentOther,LineCountOther,WordCountOther
0,S01E01,1,1,0.173523823,557,6582,0.235595284,250,3902,0.105265635,98,969,-0.154942308,7,52,-0.007464829,53,381,0.190496625,408,5304,0.118820267,59,449,0.094558987,90,829
1,S01E02,2,1,-0.002193023,280,3268,-0.134019523,110,1552,-0.008671108,68,623,0.234742169,18,249,0.167878421,57,570,-0.019792552,253,2994,,,,0.190117153,27,274
2,S01E03,3,1,0.131158057,241,3376,0.199044523,102,1698,0.02960266,51,639,0.093930662,24,287,-0.126342793,19,222,0.125018869,196,2846,,,,0.16412434,45,530
3,S01E04,4,1,0.039516662,230,3277,0.108037168,102,1730,-0.161306535,44,658,0.10757839,18,236,0.022277067,29,375,0.038181727,193,2999,,,,0.053917626,37,278
4,S02E01,1,2,0.104272274,245,3448,0.184650414,107,1569,-0.071880337,55,890,0.121662745,37,255,0.145096095,23,461,0.101938992,222,3175,,,,0.131408425,23,273
5,S02E02,2,2,-0.018270767,250,3195,-0.033039806,90,1442,-0.363846502,12,243,0.06748945,23,218,-0.104083929,31,336,-0.069815811,156,2239,0.153109282,67,571,0.027317143,27,385
6,S02E03,3,2,-0.046419233,261,2870,-0.230907646,97,994,-0.187064036,53,773,0.172663,35,300,0.304976582,33,474,-0.069958638,218,2541,,,,0.135385106,43,329
7,S02E04,4,2,0.149174364,264,3343,0.123770046,92,1095,0.123965291,89,1478,0.443905217,9,115,0.184330688,15,189,0.14064529,205,2877,,,,0.20183133,59,466
8,S02E05,5,2,0.1544617,281,3423,0.204311784,102,1553,-0.008668958,43,451,0.199147973,29,296,0.124352057,51,559,0.15454603,225,2859,,,,0.15403422,56,564
9,S02E06,6,2,0.117701012,292,3262,0.21266417,87,1415,-0.128041324,56,559,-0.049652206,30,272,0.117043519,41,324,0.098739844,214,2570,,,,0.188120376,78,692
10,S02E07,7,2,0.130014079,271,2976,0.087469034,83,1056,0.194970155,83,774,-0.211977926,32,299,0.19320623,22,305,0.098118611,220,2434,0,3,12,0.279436226,48,530
11,S02E08,8,2,0.099444535,224,2946,0.013884407,60,1071,0.078486033,59,673,0.126134437,18,302,0.006646078,18,204,0.047617644,155,2250,,,,0.266988362,69,696
12,S02E09,9,2,0.069210375,294,2477,0.0247,134,1160,-0.002746832,52,647,0.375746857,19,175,0.165810256,82,429,0.06792331,287,2411,,,,0.116227273,7,66
13,S02E10,10,2,-0.065782468,233,3274,-0.062676466,75,1262,-0.094480519,43,693,0.005182955,29,528,0.017871158,40,423,-0.046206676,187,2906,,,,-0.220367391,46,368
14,S02E11,11,2,0.114237044,239,2767,0.125065346,75,984,0.106633333,48,732,,,,0.105219569,60,649,0.113914334,183,2365,,,,0.116135572,56,402
15,S02E12,12,2,-0.047111993,223,3227,-0.119275766,57,1077,0.178322581,49,682,-0.082981215,23,181,-0.207213151,50,806,-0.068782739,179,2746,,,,0.07660499,44,481
16,S03E01,1,3,0.090209015,335,3006,0.058110404,108,1288,0.039777576,91,660,0.365343675,24,332,-0.0563184,45,250,0.08233751,268,2530,,,,0.132047059,67,476
17,S03E02,2,3,0.233110315,261,2763,0.347576923,78,1209,0.147462069,68,696,0.146054217,32,249,0.113497329,52,337,0.239851546,230,2491,,,,0.171373529,31,272
18,S03E03,3,3,0.074654484,391,3691,0.122163697,107,1201,,,,,,,0.068823288,41,292,0.111731413,148,1493,0.023227671,148,1254,0.084329661,95,944
19,S03E04,4,3,0.060858415,261,2864,-0.009315299,93,1255,-0.002143678,53,348,0.183640392,21,255,0.145281978,68,627,0.050496338,235,2485,,,,0.128799736,26,379
20,S03E05,5,3,0.119954098,226,2867,0.278569668,74,1055,0.016812531,37,399,0.01979772,33,307,-0.15045,26,260,0.132389955,170,2021,,,,0.090246217,56,846
21,S03E06,6,3,0.081017598,281,2989,0.12139912,73,1023,0.188216536,65,768,-0.092200493,51,406,0.003688147,59,599,0.083518383,248,2796,,,,0.044788601,33,193
22,S03E07,7,3,0.110967075,343,2697,0.143057177,92,843,0.092968041,77,679,0.059221901,30,242,0.01721318,80,478,0.092008073,279,2242,,,,0.204387033,64,455
23,S03E08,8,3,0.074612623,316,2947,0.000601739,107,1035,0.112965521,99,844,0.031991942,45,484,0.225888756,49,418,0.074027796,300,2781,,,,0.084410241,16,166
24,S03E09,9,3,0.156508484,264,2758,0.204866507,47,418,0.192490974,69,842,0.127020909,35,440,0.124228571,41,287,0.17073699,192,1987,,,,0.11983917,72,771
25,S03E10,10,3,0.098853813,331,3016,0.092346885,121,915,0.075959977,76,872,0.179083333,14,168,0.006433117,34,308,0.080778568,245,2263,,,,0.153175564,86,753
26,S03E11,11,3,0.056722096,317,3340,0.05619787,113,1080,-0.144752022,40,371,-0.023461749,50,549,0.267101305,59,766,0.07184013,262,2766,,,,-0.01612892,55,574
27,S03E12,12,3,0.082357959,282,2959,0.101651524,90,1017,0.020721592,86,917,0.108657927,8,164,0.005806931,60,505,0.054987975,244,2603,,,,0.282481742,38,356
