,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID,IMDB Rating,SentimentTotal,LineCountTotal,WordCountTotal,SentimentJerry,LineCountJerry,WordCountJerry,SentimentGeorge,LineCountGeorge,WordCountGeorge,SentimentKramer,LineCountKramer,WordCountKramer,SentimentElaine,LineCountElaine,WordCountElaine,SentimentMainChars,LineCountMainChars,WordCountMainChars,SentimentSecondary,LineCountSecondary,WordCountSecondary,SentimentOther,LineCountOther,WordCountOther
0,1,1,The Stakeout,31-May-90,"Larry David, Jerry Seinfeld",Tom Cherones,S01E01,7.8,0.173523823,557,6582,0.235595284,250,3902,0.105265635,98.0,969.0,-0.154942308,7.0,52.0,-0.007464829,53.0,381.0,0.190496625,408,5304,0.118820267,59.0,449.0,0.094558987,90,829
1,1,2,The Robbery,7-Jun-90,Matt Goldman,Tom Cherones,S01E02,7.7,-0.0021930229999999997,280,3268,-0.134019523,110,1552,-0.008671108,68.0,623.0,0.23474216899999997,18.0,249.0,0.16787842100000003,57.0,570.0,-0.019792551999999998,253,2994,,,,0.190117153,27,274
2,1,3,Male Unbonding,14-Jun-90,"Larry David, Jerry Seinfeld",Tom Cherones,S01E03,7.5,0.131158057,241,3376,0.199044523,102,1698,0.02960266,51.0,639.0,0.093930662,24.0,287.0,-0.126342793,19.0,222.0,0.125018869,196,2846,,,,0.16412434,45,530
3,1,4,The Stock Tip,21-Jun-90,"Larry David, Jerry Seinfeld",Tom Cherones,S01E04,7.7,0.039516662,230,3277,0.108037168,102,1730,-0.161306535,44.0,658.0,0.10757839,18.0,236.0,0.022277067,29.0,375.0,0.038181727,193,2999,,,,0.053917625999999996,37,278
4,2,1,The Ex-Girlfriend,16-Jan-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E01,7.8,0.104272274,245,3448,0.18465041399999998,107,1569,-0.071880337,55.0,890.0,0.121662745,37.0,255.0,0.145096095,23.0,461.0,0.10193899199999999,222,3175,,,,0.131408425,23,273
5,2,2,The Pony Remark,30-Jan-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E02,8.1,-0.018270767,250,3195,-0.033039806,90,1442,-0.363846502,12.0,243.0,0.06748945,23.0,218.0,-0.104083929,31.0,336.0,-0.06981581099999999,156,2239,0.15310928199999999,67.0,571.0,0.027317143,27,385
6,2,3,The Jacket,6-Feb-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E03,8.5,-0.046419233,261,2870,-0.23090764600000002,97,994,-0.18706403600000002,53.0,773.0,0.172663,35.0,300.0,0.304976582,33.0,474.0,-0.069958638,218,2541,,,,0.135385106,43,329
7,2,4,The Phone Message,13-Feb-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E04,8.6,0.149174364,264,3343,0.123770046,92,1095,0.12396529099999999,89.0,1478.0,0.443905217,9.0,115.0,0.18433068800000002,15.0,189.0,0.14064529,205,2877,,,,0.20183133,59,466
8,2,5,The Apartment,4-Apr-91,Peter Mehlman,Tom Cherones,S02E05,8.0,0.1544617,281,3423,0.204311784,102,1553,-0.008668958000000001,43.0,451.0,0.199147973,29.0,296.0,0.12435205699999999,51.0,559.0,0.15454603,225,2859,,,,0.15403422,56,564
9,2,6,The Statue,11-Apr-91,Larry David,Tom Cherones,S02E06,8.2,0.117701012,292,3262,0.21266417,87,1415,-0.128041324,56.0,559.0,-0.049652206,30.0,272.0,0.117043519,41.0,324.0,0.09873984400000001,214,2570,,,,0.188120376,78,692
10,2,7,The Revenge,18-Apr-91,Larry David,Tom Cherones,S02E07,8.5,0.130014079,271,2976,0.087469034,83,1056,0.194970155,83.0,774.0,-0.211977926,32.0,299.0,0.19320623,22.0,305.0,0.098118611,220,2434,0.0,3.0,12.0,0.279436226,48,530
11,2,8,The Heart Attack,25-Apr-91,Larry Charles,Tom Cherones,S02E08,8.0,0.099444535,224,2946,0.013884407,60,1071,0.078486033,59.0,673.0,0.126134437,18.0,302.0,0.006646078000000001,18.0,204.0,0.047617644,155,2250,,,,0.266988362,69,696
12,2,9,The Deal,2-May-91,Larry Charles,Tom Cherones,S02E09,8.4,0.069210375,294,2477,0.0247,134,1160,-0.0027468320000000003,52.0,647.0,0.37574685700000005,19.0,175.0,0.165810256,82.0,429.0,0.06792331,287,2411,,,,0.116227273,7,66
13,2,10,The Baby Shower,16-May-91,Larry Charles,Tom Cherones,S02E10,7.7,-0.065782468,233,3274,-0.062676466,75,1262,-0.094480519,43.0,693.0,0.005182955,29.0,528.0,0.017871158,40.0,423.0,-0.046206675999999995,187,2906,,,,-0.22036739100000002,46,368
14,2,11,The Chinese Restaurant,23-May-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E11,8.8,0.11423704400000001,239,2767,0.125065346,75,984,0.10663333300000001,48.0,732.0,,,,0.105219569,60.0,649.0,0.113914334,183,2365,,,,0.11613557199999999,56,402
15,2,12,The Busboy,26-Jun-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E12,7.9,-0.047111993,223,3227,-0.11927576599999999,57,1077,0.178322581,49.0,682.0,-0.082981215,23.0,181.0,-0.207213151,50.0,806.0,-0.06878273900000001,179,2746,,,,0.07660499,44,481
16,3,1,The Note,18-Sep-91,Larry David,Tom Cherones,S03E01,8.4,0.090209015,335,3006,0.058110404000000004,108,1288,0.039777576,91.0,660.0,0.365343675,24.0,332.0,-0.0563184,45.0,250.0,0.08233751,268,2530,,,,0.132047059,67,476
17,3,2,The Truth,25-Sep-91,Elaine Pope,David Steinberg,S03E02,8.0,0.233110315,261,2763,0.347576923,78,1209,0.147462069,68.0,696.0,0.146054217,32.0,249.0,0.11349732900000001,52.0,337.0,0.23985154600000003,230,2491,,,,0.171373529,31,272
18,3,3,The Pen,2-Oct-91,Larry David,Tom Cherones,S03E03,8.4,0.07465448400000001,391,3691,0.12216369699999999,107,1201,,,,,,,0.068823288,41.0,292.0,0.111731413,148,1493,0.023227671000000002,148.0,1254.0,0.084329661,95,944
19,3,4,The Dog,9-Oct-91,Larry David,Tom Cherones,S03E04,7.5,0.060858415,261,2864,-0.009315299,93,1255,-0.002143678,53.0,348.0,0.18364039199999999,21.0,255.0,0.145281978,68.0,627.0,0.050496337999999995,235,2485,,,,0.128799736,26,379
20,3,5,The Library,16-Oct-91,Larry Charles,Joshua White,S03E05,8.8,0.11995409800000001,226,2867,0.278569668,74,1055,0.016812531000000002,37.0,399.0,0.01979772,33.0,307.0,-0.15045,26.0,260.0,0.132389955,170,2021,,,,0.09024621699999999,56,846
21,3,6,The Parking Garage,30-Oct-91,Larry David,Tom Cherones,S03E06,8.9,0.081017598,281,2989,0.12139912,73,1023,0.18821653600000002,65.0,768.0,-0.09220049300000001,51.0,406.0,0.003688147,59.0,599.0,0.083518383,248,2796,,,,0.044788601,33,193
22,3,7,The Cafe,6-Nov-91,Tom Leopold,Tom Cherones,S03E07,8.6,0.110967075,343,2697,0.14305717699999998,92,843,0.092968041,77.0,679.0,0.05922190099999999,30.0,242.0,0.01721318,80.0,478.0,0.09200807300000001,279,2242,,,,0.204387033,64,455
